Species,Days in N-free Media,Date,Replicate,Cell Density,Growth Rate,Dilution Factor,NO3+NO2,NH4,PO4,SiO4,DIN,PD NO3+NO2,PD NH4,PD PO4,PD SiO4,PD DIN,Dry Wt,Particulate C Conc,Particulate N Conc,Particulate P Conc,PD Particulate C,PD Particulate N,PD Particulate P,C,N,P,RNA,DNA,Protein,Chl a,Chl b,Mg-DVP,Chl c2,Total Chlorophylls,Total Carotenoids,Total Pigments,Carbohydrate,Total Lipid,Lipid - Pigment,Lipid P,Estimated Phospholipid
Thalassiosira pseudonana,7,160412,A,364933.3333,0.000721853,,0,0,12.84065,9.842,0,,,,,,65.7832145,782.8316511,29.16274783,4.75351585,,,,25.76458562,1.119310906,0.403455248,0.251838491,0.281493827,6.343116957,0.211745992,,,0.01374073,0.225486722,0.208170708,0.433657431,31.36523821,13.94775301,13.51409558,0.026295855,0.611531506
Thalassiosira pseudonana,7,160412,B,307133.3333,-0.003109984,,0,0,15.2583,10.838,0,,,,,,60.87358,705.191243,30.64548992,4.924653722,,,,27.57707986,1.397576027,0.496641151,0.333208068,0.340912142,7.750383876,0.333532747,,,0.023354483,0.35688723,0.342468601,0.699355831,30.17535427,15.66095073,14.9615949,0.042504339,0.988473004
Thalassiosira pseudonana,7,160412,C,333200,-0.063234024,,0,0,13.3572,10.634,0,,,,,,62.03481393,745.7334787,32.47187911,4.841910175,,,,26.88109572,1.365017614,0.450096559,0.308017231,0.333225461,6.495653817,0.227198196,,,0.015468021,0.242666218,0.23052513,0.473191348,34.83037733,14.55582233,14.08263098,0.037385948,0.869440661
Thalassiosira pseudonana,10,160415,A,316200,-0.048428664,,0,0,12.01265,6.736,,,,,,,,879.651918,29.03147012,6.46012496,,,,33.41314134,1.286005985,0.632809529,0.2389657,0.298754685,6.467559346,0.197867753,,,0.016235857,0.21410361,0.24260488,0.45670849,36.41034093,17.39360017,16.93689168,0.026158145,0.608328946
Thalassiosira pseudonana,10,160415,B,258900,-0.044473258,,0,0,15.3509,9.568,,,,,,,,762.7434458,31.51272541,6.919219857,,,,35.38463771,1.704864005,0.82778783,0.30573185,0.33658458,8.375974659,0.220418334,,,0.018610217,0.239028551,0.286694777,0.525723328,34.63124081,22.32972136,21.80399803,0.042602592,0.990757962
Thalassiosira pseudonana,10,160415,C,312030,-0.070404133,,0,0,12.5923,9.622,,,,,,,,834.4814249,30.28592773,7.123584802,,,,32.1209693,1.359503586,0.707125021,0.302569874,0.340586475,6.888113282,0.204177109,,,0.016383537,0.220560646,0.260872607,0.481433253,36.80755866,17.51462311,17.03318986,0.052693732,1.225435622
Thalassiosira weissflogii,0,160502,A,17212.5,0.484285019,,35.121,4.318,7.807,7.72,39.439,8.301327273,1.020618182,29.48892727,20.91563636,9.321945455,443.4761559,200.6512296,34.13852698,2.754304457,47.42665428,8.069106378,0.651017417,140.0123006,27.78028212,4.956349787,8.978898262,2.284963647,104.0001776,6.764794445,,,0.326657745,7.09145219,3.188321176,10.27977337,69.26929126,56.951271,46.67149763,0.286960032,6.673489122
Thalassiosira weissflogii,0,160502,B,17595,0.496436886,,35.747,3.093,6.444,7.66,38.84,8.449290909,0.731072727,29.16676364,20.90145455,9.180363637,483.0917874,201.036255,32.81198601,2.790212659,47.51766027,7.75556033,0.65950481,137.2313809,26.1203549,4.911814881,8.869182257,2.128193475,100.3724411,6.392937757,,,0.359196794,6.752134551,3.192596315,9.944730866,77.3487356,53.31078264,43.36605178,0.230770238,5.366749724
Thalassiosira weissflogii,0,160502,C,17850,0.557118908,,39.74,5.892,7.6735,7.74,45.632,9.393090909,1.392654545,29.45737273,20.92036364,10.78574545,490.1568,208.1590998,33.11031637,2.773267521,49.20124176,7.826074777,0.655499596,140.0636694,25.98130354,4.812242474,8.344703913,2.273609564,104.2890297,7.133747808,,,0.342069003,7.475816811,3.303169348,10.77898616,74.5168116,56.94709446,46.1681083,0.258283225,6.00658663
Thalassiosira weissflogii,0,160502,A,,,0.236363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira weissflogii,0,160502,B,,,0.236363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira weissflogii,0,160502,C,,,0.236363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira weissflogii,2,160504,A,15019.5,0.708545261,,,,,,,,,,,,,171.2477638,26.95861164,2.612889653,,,,136.9423427,25.14072943,5.388396568,,,,,,,,,,,,,,,
Thalassiosira weissflogii,2,160504,B,14305.5,0.65697054,,,,,,,,,,,,,170.5386379,27.66681337,2.606869725,,,,143.1818824,27.08893467,5.644302011,,,,,,,,,,,,,,,
Thalassiosira weissflogii,2,160504,C,13285.5,0.672880496,,,,,,,,,,,,,169.8476723,28.37703573,2.361979044,,,,153.5500687,29.91747592,5.506708574,,,,,,,,,,,,,,,
Thalassiosira weissflogii,3,160505,A,24531,0.490588267,,0.1156,0.3584,22.1242,9.556,0.474,,,,,,,242.7682426,20.23457386,3.187190807,,,,118.8625222,11.55352842,4.024266826,4.378403932,1.728356179,66.92687334,4.991361519,,,0.213491168,5.204852688,2.334564183,7.53941687,190.0072262,43.22638594,35.68696907,0.198122678,4.607504134
Thalassiosira weissflogii,3,160505,B,23103,0.479318401,,0.0218,0.8216,19.3656,13.508,0.8434,,,,,,,256.2658266,22.93003757,3.010060439,,,,133.2265058,13.90183774,4.035531993,4.67710959,1.869198158,68.61515487,5.10404273,,,0.237015124,5.341057853,2.439235712,7.780293565,204.580394,50.28938877,42.50909521,0.191147168,4.44528298
Thalassiosira weissflogii,3,160505,C,23919,0.587999907,,0,1.3048,20.8727,13.38,1.3048,,,,,,,249.597245,23.10841782,3.159162021,,,,125.3328998,13.53203211,4.090937437,4.502179205,1.836269323,77.68633214,5.128589477,,,0.230208255,5.358797732,2.398025255,7.756822987,181.6496376,43.12057219,35.3637492,0.222273389,5.16914858
Thalassiosira weissflogii,6,160508,A,38398,0.096342667,,,,,,,,,,,,,677.2669751,25.51872397,4.779480908,,,,211.845681,9.308638757,3.855370179,,,,,,,,,,,,,,,
Thalassiosira weissflogii,6,160508,B,35640,0.09577325,,,,,,,,,,,,,623.4384892,24.57842877,4.685977889,,,,210.0991207,9.659446638,4.072456899,,,,,,,,,,,,,,,
Thalassiosira weissflogii,6,160508,C,35407,0.065866824,,,,,,,,,,,,,654.9144912,26.32521047,4.323311713,,,,222.1589369,10.41402337,3.781998702,,,,,,,,,,,,,,,
Thalassiosira weissflogii,7,160509,A,38473.125,0.001954571,,0,0,10.30245,8.694,0,,,,,,,841.616859,22.82390133,4.579041997,,,,262.7394475,8.30937281,3.686473532,2.39284993,1.701687926,48.29117864,2.679623658,,,0.115292736,2.794916393,1.559151725,4.354068118,542.3327842,66.00064871,61.64658059,0.151093965,3.513813151
Thalassiosira weissflogii,7,160509,B,36465,0.022884294,,0,0,11.3501,13.378,0,,,,,,,833.9301695,21.43816286,4.837920802,,,,274.6766786,8.234688487,4.109381805,1.743356061,1.683936353,46.27479644,2.727306171,,,0.116105095,2.843411266,1.575959421,4.419370686,504.7255377,61.68644276,57.26707207,0.176751577,4.110501784
Thalassiosira weissflogii,7,160509,C,37006.875,0.044194165,,0,0,11.3064,9.602,0,,,,,,,846.9334463,22.92649393,4.149547481,,,,274.874967,8.677428789,3.473059967,1.749036595,1.68348603,43.83793009,2.754267397,,,0.111925143,2.86619254,1.544965831,4.411158371,515.4353017,65.67848692,61.26732855,0.169788563,3.948571232
Thalassiosira weissflogii,11,160513,A,37995,-0.056272488,,0,0,7.3622,8.938,0,,,,,,1316.225819,1226.523062,23.36585463,4.919091326,,,,387.7194511,8.613725914,4.010074062,1.355954578,1.81239283,41.81299294,2.20557476,,,0.092911777,2.298486537,1.52999189,3.828478427,704.3758775,100.2070575,96.37857907,0.180185465,4.190359643
Thalassiosira weissflogii,11,160513,B,35763.75,-0.068041736,,0,0,8.3686,13.094,0,,,,,,1220.509594,1124.690471,21.71802442,4.702373909,,,,377.7098275,8.505759397,4.072565385,1.352748151,1.886985606,49.04486028,2.118009646,,,0.092378756,2.210388402,1.47316377,3.683552172,692.8651754,105.4457451,101.7621929,0.128695843,2.992926574
Thalassiosira weissflogii,11,160513,C,39078.75,0.045045146,,0,0,8.37545,10.434,0,,,,,,1110.322106,1099.904417,21.71414447,4.865897051,,,,338.0512933,7.782836128,3.856703123,1.330358829,1.826104216,46.28246392,1.789070381,,,0.084542385,1.873612766,1.280101075,3.153713841,657.0721195,93.71946681,90.56575297,0.174991194,4.069562641
Thalassiosira weissflogii,16,160518,A,40385.625,0.018319907,,0,0,4.80215,10.164,0,,,,,,,1393.785931,20.94843582,5.529446377,,,,414.5124579,7.265418227,4.240809845,0.771731087,1.759820063,46.43816099,1.389450359,,,0.060143002,1.44959336,1.202365933,2.651959294,749.0383968,111.3211185,108.6691592,0.180018907,4.186486219
Thalassiosira weissflogii,16,160518,B,39843.75,0.014504686,,0,0,7.7327,12.166,0,,,,,,,1261.68009,22.15584336,4.987258804,,,,380.3271794,7.788680813,3.876998707,0.99351915,1.724977117,45.45187973,1.408346883,,,0.065260459,1.473607343,1.228456724,2.702064066,673.5712162,112.8350857,110.1330217,0.103714104,2.41195591
Thalassiosira weissflogii,16,160518,C,39971.25,0.107666912,,0,0,6.8554,11.1,0,,,,,,,1501.346732,21.86256342,4.822947599,,,,451.1298795,7.661065566,3.737306966,1.094745401,1.875983448,53.33413728,1.181743687,,,0.065817613,1.2475613,1.116340374,2.363901674,662.6692507,,,,
Ostreococcus tauri,0,160725,A,8007000,0.523646312,,101.608,3.382,,14.6,104.99,14.77738429,0.491861996,,,15.26924628,0.666556223,187.6170219,37.60617491,3.277307346,27.28612739,5.469263231,0.476635994,0.281430219,0.06578474,0.012677724,0.039529438,0.019731566,0.265430237,0.009732342,0.005091609,0.000592294,,0.015416245,0.004386198,0.019802443,0.187897743,0.080947689,0.061145246,0.000783432,0.018219342
Ostreococcus tauri,0,160725,B,8032500,0.537636881,,96.347,2.322,,12.16,98.669,14.0097474,0.337640336,,,14.34738774,0.69530762,192.3476909,28.43750406,2.692854914,27.96913825,4.135076843,0.39156608,0.287610384,0.049587997,0.010383797,0.029837462,0.018912452,0.297234455,0.010646691,0.005471729,0.000661463,,0.016779884,0.004992828,0.021772712,0.203634123,0.075157635,0.053384923,0.001010726,0.023505246
Ostreococcus tauri,0,160725,C,8606250,0.831132924,,100.101,5.479,,10.62,105.58,14.56226022,0.797061206,,,15.35932142,0.73990152,188.4764383,27.86516155,3.921187446,27.41873648,4.053703095,0.570437378,0.263033721,0.045350641,0.014112294,0.032230661,0.017316754,0.297786383,0.007828569,0.004302847,0.000482005,,0.012613422,0.003644133,0.016257555,0.228211411,0.078754135,0.06249658,0.000921815,0.021437554
Ostreococcus tauri,0,160725,A,,,0.145435244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostreococcus tauri,0,160725,B,,,0.145409275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostreococcus tauri,0,160725,C,,,0.145475672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostreococcus tauri,2,160702,A,5788500,0.860601826,,8.5132,1.2972,11.8776,8.112,9.8104,,,,,,,135.6339617,27.18662964,2.538247988,,,,0.281430219,0.06578474,0.013581945,0.021285888,0.012481024,0.322345224,0.008796996,0.004741652,0.00055446,,0.014093108,0.004173535,0.018266643,0.209494445,0.087241945,0.068975303,0.001105504,0.025709384
Ostreococcus tauri,2,160702,B,5482500,0.755517511,,9.8142,0,11.1649,14.404,9.8142,,,,,,,131.2849319,19.40972499,2.029126554,,,,0.287610384,0.049587997,0.01146369,0.02826508,0.016027418,0.247939986,0.008109172,0.005267361,0.00050028,,0.013876813,0.004155449,0.018032262,0.20118801,0.089635854,0.071603592,0.000972319,0.022612063
Ostreococcus tauri,2,160702,C,4972500,0.657879042,,6.9118,0.7398,6.8376,9.176,7.6516,,,,,,,108.8974977,16.09987112,2.354937511,,,,0.263033721,0.045350641,0.014668934,0.028464935,0.021047,0.226753207,0.009123349,0.005926125,0.000562848,,0.015612323,0.004675152,0.020287475,0.205329344,0.082774098,0.062486623,0.001075638,0.02501483
Ostreococcus tauri,3,160703,A,10302000,0.57646486,,,,,,0,,,,,,,233.2645549,31.68200926,3.123637284,,,,0.271954047,0.04307517,0.009391458,,,,,,,,,,,,,,,
Ostreococcus tauri,3,160703,B,10149000,0.615813977,,,,,,0,,,,,,,239.7236073,31.97404258,3.663366214,,,,0.283697737,0.044127581,0.011180238,,,,,,,,,,,,,,,
Ostreococcus tauri,3,160703,C,9639000,0.661894637,,,,,,0,,,,,,,214.1208424,31.26137078,3.053390568,,,,0.26680581,0.045426771,0.009811702,,,,,,,,,,,,,,,
Ostreococcus tauri,4,160704,A,13005000,0.232995848,,0,0,12.5955,11.436,0,,,,,,,328.244481,32.8774775,4.147366084,,,,0.30314848,0.03540984,0.009877703,0.010761587,0.019308929,0.180249957,0.008164465,0.004126369,0.000465408,,0.012756241,0.003856985,0.016613226,0.228621053,0.095689692,0.079076466,0.000970549,0.022570905
Ostreococcus tauri,4,160704,B,12699000,0.224148072,,0,0,12.36415,12.376,0,,,,,,,328.771787,33.35663897,3.463631387,,,,0.310951989,0.036791593,0.008448043,0.010510357,0.019068148,0.181197033,0.007615349,0.003820122,0.000424206,,0.011859678,0.003879399,0.015739077,0.252875711,0.092745711,0.077006634,0.001008355,0.023450107
Ostreococcus tauri,4,160704,C,11755500,0.198503847,,0,0,12.03045,13.604,0,,,,,,,304.5310062,32.70968738,3.957231641,,,,0.311142066,0.038973653,0.010426639,0.011719766,0.020361236,0.19695466,0.00793263,0.003805353,0.000438501,,0.012176484,0.00402153,0.016198014,0.224816264,0.117202822,0.101004808,0.001154958,0.026859496
Ostreococcus tauri,7,160707,A,15200890,-0.013143392,,0,0,13.3774,12.318,0,,,,,,,412.9672252,32.76068417,4.620672843,,,,0.326298358,0.030186987,0.009415213,0.004734922,0.01602936,0.14776996,0.006372648,0.003112296,0.00034624,,0.009831184,0.003741488,0.013572672,0.288327305,0.168734349,0.155161677,0.000399464,0.009289868
Ostreococcus tauri,7,160707,B,16014000,0.194497292,,0,0,12.316,9.406,0,,,,,,,412.2209412,30.99826999,4.177338016,,,,0.309170854,0.027112743,0.008079672,0.004641176,0.015637004,0.156499189,0.006249613,0.003112438,0.000352826,,0.009714877,0.003817388,0.013532265,0.261816749,0.142375422,0.128843156,0.000854225,0.019865689
Ostreococcus tauri,7,160707,C,15045000,0.105360516,,0,0,12.7282,8.186,0,,,,,,,430.5045392,32.18099766,4.584456759,,,,0.343679686,0.029960092,0.00943821,0.005645764,0.01628146,0.16131026,0.006816948,0.003250124,0.000378637,,0.010445708,0.004251268,0.014696977,0.253244632,0.156862745,0.142165769,0.000989766,0.02301781
Ostreococcus tauri,11,160711,A,14662500,0,,0,0,12.60845,13.538,0,,,,,,0.758597869,458.583111,30.13885355,4.142370762,,,,0.375645638,0.028790853,0.008750541,0.002573087,0.011322098,0.130140992,0.006291514,0.003033333,0.000344877,,0.009669724,0.004206276,0.013876,0.339567281,0.194111089,0.180235089,0.00085498,0.019883258
Ostreococcus tauri,11,160711,B,14356500,-0.077443349,,0,0,12.14855,13.482,0,,,,,,0.757520154,437.7120497,27.54955743,4.921640993,,,,0.366191489,0.026878305,0.010618308,0.002948975,0.010330679,0.151427139,0.006859777,0.003341201,0.000380981,,0.010581958,0.004445043,0.015027001,0.329998728,0.176816184,0.161789182,0.001086552,0.025268661
Ostreococcus tauri,11,160711,C,15342500,-0.043367229,,0,0,12.2319,13.104,0,,,,,,0.737831252,441.1818795,27.41391568,4.358418439,,,,0.34537417,0.025027114,0.008798867,0.002164366,0.011238031,0.150508768,0.006418927,0.003126475,0.000356497,,0.009901899,0.004159378,0.014061277,0.311851714,0.182499593,0.168438316,0.000835398,0.01942785
Ostreococcus tauri,14,160714,A,13336500,-0.04066452,,,,,,,,,,,,,615.0014374,34.20599035,4.96410123,,,,0.55386329,0.035924946,0.011529029,,,0.172593056,0.006404983,0.003180412,0.0003575,,0.009942895,0.004476833,0.014419728,0.449911563,0.191954411,0.177534683,0.000757102,0.017607032
Ostreococcus tauri,14,160714,B,13540500,-0.033372135,,,,,,,,,,,,,479.7744637,30.24919159,5.24009277,,,,0.425569746,0.031290673,0.011986661,,,0.162583063,0.00635652,0.003407277,0.000359736,,0.010123533,0.004156972,0.014280505,0.392619377,0.186108342,0.171827837,0.000797668,0.018550412
Ostreococcus tauri,14,160714,C,12520500,-0.075355717,,,,,,,,,,,,,492.5960553,30.04301874,5.579774666,,,,0.472538912,0.033609165,0.013803491,,,0.176759906,0.0071341,0.003607135,0.000407175,,0.01114841,0.005265028,0.016413438,0.461887625,0.199672537,0.183259099,0.000762334,0.017728705
Micromonas sp.,0,160715,A,8619000,0.363977828,,52.123,1.256,13.114,5.76,53.379,15.6369,0.3768,16.6042,,16.0137,1.165835348,400.6406057,62.45667002,5.844416857,120.1921817,18.73700101,1.753325057,0.558298425,0.101498067,0.021002851,0.043155954,0.023382687,0.562916766,0.01694498,0.011177234,0.00119974,,0.029321953,0.009420673,0.038742626,0.245790022,0.155986129,0.117243503,0.001374198,0.031958091
Micromonas sp.,0,160715,B,9001500,0.357794431,,49.739,2.897,11.353,4.72,52.636,14.9217,0.8691,16.0759,,15.7908,1.207307431,429.2165631,66.66243502,6.402774027,128.7649689,19.99873051,1.920832208,0.572703591,0.103729459,0.022031661,0.044893567,0.024966027,0.557469419,0.017478568,0.011488259,0.001242311,,0.030209138,0.009967916,0.040177054,0.281009289,0.15923272,0.119055666,0.001502639,0.03494509
Micromonas sp.,0,160715,C,8670000,0.336804472,,59.696,0.879,16.897,5.64,60.575,17.9088,0.2637,17.7391,,18.1725,1.283106506,443.0209192,67.17677837,6.013362834,132.9062758,20.15303351,1.80400885,0.613724493,0.108526526,0.021482868,0.044940553,0.024322949,0.597532842,0.017813036,0.011876019,0.001292668,,0.030981723,0.009707286,0.040689009,0.28773906,0.183604597,0.142915587,0.001282577,0.029827371
Micromonas sp.,0,160715,A,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micromonas sp.,0,160715,B,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micromonas sp.,0,160715,C,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micromonas sp.,5,160720,A,10480500,0.135533027,,,,,,,,,,,,,489.8129981,50.33041975,4.239430081,,,,0.561327892,0.067264261,0.012529087,,,,,,,,,,,,,,,
Micromonas sp.,5,160720,B,10888500,0.162921486,,,,,,,,,,,,,498.63458,51.36036471,3.896896755,,,,0.550025288,0.066068717,0.011085232,,,,,,,,,,,,,,,
Micromonas sp.,5,160720,C,11118000,0.238346681,,,,,,,,,,,,,488.2883396,49.94893726,4.32018997,,,,0.527494582,0.062926766,0.012035666,,,,,,,,,,,,,,,
Micromonas sp.,6,160721,A,11781000,0.116971677,,0,0,12.49765,12.888,0,,,,,,,516.726756,50.09318443,3.66065087,,,,0.526801634,0.059556931,0.009624321,0.013889104,0.022008415,0.392616535,0.010800083,0.007266267,0.000769986,,0.018836336,0.007272795,0.026109131,0.448873869,0.251110545,0.225001415,0.001321729,0.030737884
Micromonas sp.,6,160721,B,11271000,0.034525869,,0,0,12.17285,13.072,0,,,,,,,527.475061,50.80185817,4.475211828,,,,0.562092513,0.063132498,0.012298301,0.013283824,0.024035483,0.326975576,0.011613371,0.007796932,0.000832296,,0.020242599,0.007976738,0.028219338,0.381577224,0.266306735,0.238087397,0.001191491,0.027709096
Micromonas sp.,6,160721,C,11398500,0.024916351,,0,0,12.3961,13.168,0,,,,,,,515.0059257,49.37267057,3.922424306,,,,0.542666287,0.060670104,0.010658616,0.022935072,0.02637245,0.286240727,0.011601156,0.00781141,0.000824344,,0.020236909,0.008075773,0.028312682,0.38660811,0.243019847,0.214707165,0.001436053,0.033396579
Micromonas sp.,8,160723,A,11016000,0.00599104,,0,0,12.2974,13.206,0,,,,,,,566.2124836,49.99283229,4.280274163,,,,0.617339168,0.063565233,0.012034876,0.012658356,0.022307291,0.389764,0.011620201,0.007802046,0.00083751,,0.020259756,0.008235299,0.028495055,0.461467391,0.286480047,0.257984992,0.000931193,0.021655657
Micromonas sp.,8,160723,B,11857500,0.008877577,,0,0,12.44465,12.696,0,,,,,,,552.3779539,45.75031964,4.595887526,,,,0.559514728,0.054042674,0.012005223,0.013577526,0.023716164,0.32095786,0.010750974,0.007150597,0.00076763,,0.018669201,0.007335575,0.026004776,0.371485216,0.285671152,0.259666376,0.001254869,0.029183002
Micromonas sp.,8,160723,C,11551500,-0.016740025,,0,0.4697,12.52435,11.876,0.4697,,,,,,,559.9774697,51.02450995,4.005504882,,,,0.582237925,0.061869454,0.010740212,0.013846874,0.02479168,0.304793,0.011296178,0.007607603,0.000804045,,0.019707826,0.0078615,0.027569326,0.400566463,0.283887027,0.2563177,0.001101452,0.025615157
Micromonas sp.,11,160727,A,11900000,0.010772097,,0,0,12.65015,12.914,0,,,,,,1.170350838,606.3085754,49.60304729,4.277489339,,,,0.611948774,0.058384454,0.011133608,0.011427607,0.022606167,0.290341538,0.010722826,0.006962716,0.00075188,,0.018437422,0.007750936,0.026188358,0.41212875,0.318238406,0.292050048,0.000778268,0.018099256
Micromonas sp.,11,160727,B,11007500,-0.01532597,,0,0,12.93975,11.822,0,,,,,,1.273965145,617.1190945,50.38608269,2.81545685,,,,0.673362009,0.064114717,0.007922352,0.013871229,0.023396846,0.375412293,0.011559007,0.00748826,0.000808624,,0.019855891,0.008358371,0.028214262,0.39884502,0.349088584,0.320874323,0.000708721,0.016481883
Micromonas sp.,11,160727,C,12197500,0.018994591,,0,0.9356,13.0874,13.026,0.9356,,,,,,1.221049787,625.2241632,51.06031906,4.192088076,,,,0.615649097,0.058633865,0.010645193,0.014146403,0.023210911,0.345449903,0.01053128,0.006898483,0.000742425,,0.018172188,0.007680742,0.025852929,0.428697586,0.292257825,0.266404895,0.000760179,0.017678585
